statusid,officeid,schedstatus,schedgroup,isdefault,hold,processbilling,processpay,credit,interpOption,bgcolor,fgcolor,active
259,15,CANCEL LESS/48 HRS,CANCEL_BILL,False,False,True,True,False,False,#000099,#FFFFFF,True
260,15,CANCEL MORE/48 HRS,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
263,2,DELETE,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
264,5,TEST,OTHER,False,False,False,False,False,False,,,False
265,9,COMPLETED NB,CANCEL_NC,False,True,False,False,False,True,,,False
266,9,PTO,OTHER,False,True,False,False,False,False,,,False
267,9,CANCELLED 48,CANCEL_BILL,False,False,True,False,False,False,,,False
268,9,E-TIME,OTHER,False,True,False,False,False,False,,,False
269,9,SAME DAY PENDING,PENDING,False,True,False,False,False,False,,,False
270,9,SAME DAY ACCEPT,PENDING,True,True,False,False,False,False,,,False
271,9,SAME DAY,PENDING,False,True,False,False,False,False,,,True
272,9,VRS CONFIRMED,PENDING,False,True,False,False,False,False,#9966FF,#FFFFFF,True
273,9,NO SHOW NB,CANCEL_NC,False,True,False,True,False,True,,,False
275,9,< COMPLETED,COMPLETED,False,True,True,True,False,True,,,False
276,2,TERP BILL,CANCEL_BILL,False,True,False,True,False,False,#663300,#FFFFFF,True
277,4,UNFILLED,UNFILLED,False,True,False,False,False,False,#FFCC00,#000000,True
279,4,FILLED,PENDING,False,True,False,False,False,False,,,True
281,4,TERP CANCEL,UNFILLED,False,False,False,False,False,False,,,True
282,4,TERP BILL,CANCEL_BILL,False,True,False,True,False,False,,,True
283,4,AGENCY HOLD,PENDING,False,True,False,False,False,False,,,True
284,4,TERP HOLD,PENDING,False,True,False,False,False,False,,,True
285,4,CANCEL LESS-PB,CANCEL_NC,False,True,False,False,False,False,,,True
286,10,AGENCY HOLD,PENDING,False,True,False,False,False,False,,,True
287,10,CANCEL PRE-BILL,CANCEL_NC,False,False,False,False,False,False,,,True
288,5,AGENCY HOLD,PENDING,False,True,False,False,False,False,,,True
289,5,FILLED,PENDING,False,True,False,False,False,False,,,True
290,5,OBSERVATION,COMPLETED,False,True,False,False,False,False,,,True
291,5,PENDING,PENDING,False,True,False,False,False,False,,,True
292,5,TERP BILL,CANCEL_BILL,False,True,False,True,False,False,,,True
293,5,TERP CANCEL,UNFILLED,False,False,False,False,False,False,,,True
294,5,TERP HOLD,PENDING,False,True,False,False,False,False,,,True
296,5,UNABLE,UNFILLED,False,False,False,False,False,False,,,True
297,5,CANCELED UPON CONFIRMATION,CANCEL_NC,False,False,False,False,False,False,,,True
298,5,CANCEL LESS-PB,CANCEL_NC,False,True,False,False,False,False,,,True
299,8,AGENCY HOLD,PENDING,False,True,False,False,False,False,,,True
300,8,CANCEL LESS-PB,CANCEL_NC,False,False,False,False,False,False,,,True
301,8,CANCEL WEATHER,CANCEL_NC,False,False,False,False,False,False,,,True
302,8,CANCELED UPON ARRIVAL,CANCEL_BILL,False,False,True,True,False,False,,,True
303,8,CANCELED UPON CONFIRMATION,CANCEL_NC,False,False,False,False,False,False,,,True
304,8,FILLED,PENDING,False,True,False,False,False,False,,,True
305,8,OBSERVATION,COMPLETED,False,True,False,False,False,False,,,True
306,8,TERP BILL,CANCEL_BILL,False,False,False,True,False,False,,,True
307,8,TERP CANCEL,UNFILLED,False,False,False,False,False,False,,,True
308,8,TERP HOLD,PENDING,False,True,False,False,False,False,,,True
309,8,TERP NO SHOW,CANCEL_NC,False,False,False,False,False,False,,,True
310,8,UNABLE,UNFILLED,False,False,False,False,False,False,,,True
311,8,UNFILLED,UNFILLED,False,True,False,False,False,False,,,True
312,4,UNFILLED/RC,UNFILLED,False,True,False,False,False,False,#6600CC,#FFFFFF,True
313,4,UNFILLED/AB,UNFILLED,False,True,False,False,False,False,#993300,#FFFFFF,True
314,2,CANCEL LESS-PB,CANCEL_NC,False,True,False,False,False,False,#663300,#FFFFFF,True
315,2,OBSERVATION,COMPLETED,False,True,False,False,False,False,,,True
316,9,AGENCY HOLD,PENDING,False,True,False,False,False,False,,,True
317,9,CANCEL WEATHER,CANCEL_NC,False,False,False,False,False,False,,,True
318,9,CANCELED UPON CONFIRMATION,CANCEL_NC,False,False,False,False,False,False,,,True
319,9,OBSERVATION,COMPLETED,False,True,False,False,False,False,,,True
320,9,PENDING,PENDING,False,True,False,False,False,False,,,True
321,9,TERP BILL,CANCEL_BILL,False,True,False,True,False,False,,,True
322,9,TERP HOLD,PENDING,False,True,False,False,False,False,,,True
323,9,TERP NO SHOW,CANCEL_NC,False,False,False,False,False,False,,,True
325,4,UNABLE/ER,UNFILLED,False,False,False,False,False,False,,,True
326,9,UNABLE/GM,UNFILLED,False,False,False,False,False,False,,,True
327,9,UNABLE/ER,UNFILLED,False,False,False,False,False,False,,,True
329,5,UNABLE/ER,UNFILLED,False,False,False,False,False,False,,,True
332,4,DELETE,CANCEL_NC,False,False,False,False,False,False,,,True
333,4,SAME DAY,PENDING,False,True,False,False,False,False,,,True
336,9,NO SHOW,CANCEL_BILL,False,False,True,True,False,False,,,True
337,9,DELETE,CANCEL_NC,False,False,False,False,False,False,,,True
338,9,CANCEL NO CHARGE,CANCEL_NC,False,False,False,False,False,False,,,True
339,5,DELETE,CANCEL_NC,False,False,False,False,False,False,,,True
340,5,SAME DAY,PENDING,False,True,False,False,False,False,,,True
341,8,DELETE,CANCEL_NC,False,False,False,False,False,False,,,True
342,8,CANCEL NO CHARGE,CANCEL_NC,False,False,False,False,False,False,,,True
343,8,SAME DAY,PENDING,False,True,False,False,False,False,,,True
344,16,NO SHOW,CANCEL_BILL,False,False,True,True,False,True,#663300,#FFFFFF,True
345,16,CANCEL LESS,CANCEL_BILL,False,False,True,True,False,True,#000099,#FFFFFF,True
346,16,PENDING,PENDING,True,True,False,False,False,True,#FFCC00,#000000,True
347,16,COMPLETED,COMPLETED,False,False,True,True,False,True,#000099,#FFFFFF,True
348,16,AGENCY HOLD,PENDING,False,True,False,False,False,False,#FFCC00,#000000,True
349,16,CANCEL NO CHARGE,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
350,16,CANCEL/ARRIVAL,CANCEL_BILL,False,False,True,True,False,True,#663300,#FFFFFF,True
351,16,CONFIRMED,PENDING,False,True,False,False,False,True,#008F00,#FFFFFF,True
352,16,DELETE,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
353,16,FILLED,PENDING,False,True,False,False,False,False,#FFCC00,#000000,True
354,16,OBSERVATION,COMPLETED,False,True,False,False,False,False,,,True
356,16,TERP BILL,CANCEL_BILL,False,True,False,True,False,False,#663300,#FFFFFF,True
357,16,TERP CANCEL,UNFILLED,False,False,False,False,False,False,#663300,#FFFFFF,True
358,16,TERP HOLD,PENDING,False,True,False,False,False,False,#FFCC00,#000000,True
359,16,TERP NO SHOW,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
360,16,UNABLE,UNFILLED,False,False,False,False,False,False,#663300,#FFFFFF,True
361,16,UNABLE/ER,UNFILLED,False,False,False,False,False,False,#663300,#FFFFFF,True
362,16,UNFILLED,UNFILLED,False,True,False,False,False,False,#CC0000,#FFFFFF,True
363,4,BILLING HOLD,,False,True,False,False,False,False,,,True
364,16,BILLING HOLD,,False,True,False,False,False,False,,,True
