"PublisherName"		"AppName"
Abbott Systems Inc.		Calc+
Abexo		Abexo Free Registry Cleaner
Ability Plus Software Ltd.		Ability Office
Abitom Software		Color Wheel Expert
AbleSoft Inc.		Library Of the Future
Above Software Inc.		Golden Retriever for Windows
Abraxas Software		PCLEX Toolkit
Abraxas Software		PCYACC Toolkit
AbyssMedia.com		i-Sound
AccSoft Shareware		Account Pro
AccSoft Shareware		Account Pro 95
Accel Technologies Inc.		P-CAD PCB
Access Softek		Dragnet
Access Softek		Ghost
Access Softek		Prompt
AccessData Corporation		AccessData Password Recovery Toolkit
Accolade Inc.		Hardball III
Accolade Inc.		Jack Nicklaus Tour Collection
Accolade Inc.		Unnecessary Roughness '95
Accoona Corp.		Accoona Search Assistant
Accu-Sort Systems Inc.		AdaptaScan OLP
AccuSoft Corporation		ImageGear
Accurate Technologies		None
Ace Software Company		None
Ace Software Corporation (see Atlantic Coast)		None
Acer Laboratories Inc.		ALi Integrated Driver
Acer Laboratories Inc.		Integrated107
Aces Research Inc.		Math Advantage Pre-Algebra
Achieve Global		None
Acksen Ltd		Timesheet Xpress
Acoustica		Acoustica MP3 CD Burner
Acoustica		CD Burner
Acoustica		MP3 CD Burner
Acro Software Inc.		CutePDF
Acro Software Inc.		CutePDF Express
Acro Software Inc.		CuteSave
Acronis Inc.		Acronis True Image
Acronis Inc.		Acronis True Image Enterprise Server
Acronis Inc.		Acronis\xa0True\xa0Image\xa0Workstation
Acroprint Time Recorder Company Inc		PC Time and Attendance
Acsential Software (see IBM Corporation)		None
Act- 3D		Quest3D Viewer
Active+ Software		Service+
ActiveState		ActivePerl
ActiveState		Perl Dev Kit
ActiveState Corporation (see SOPHOS)		None
ActiveState Tool Corp.		ActivePerl
ActiveState Tool Corp.		CIS/2 to VRML and IFC Translator
ActiveState Tool Corp.		Perl for Win32
ActiveWare Internet Corp. (see ActiveState)		None
ActiveWorlds.com Inc.		Active Worlds Browser
Activision		Shanghai II: Dragon's Eye
Activision		Spider-Man
Activision		Time Commando
Activision		Time Commando (Special Edition)
Activision Inc.		Call of Duty 2
Activision Inc.		Call of Duty 2 Demo
Activision Inc.		Call of Duty Game of the Year Edition
Actuate		Actuate 8
Actuate		Actuate e.Report Designer
Actuate		Actuate e.Reporting Suite
Acucorp Inc.		ACUCOBOL-GT
Acute System		CrossFont
AdRem Software		AdRem Free Remote Console
AdRem Software		AdRem Server Manager
AdVentNet Inc.		AD Manager Plus
Adaptec Inc.		Adaptec CIO Management Software
Adaptec Inc.		CD Workshop
Adaptec Inc.		CI/O Management Software
Adaptec Inc.		DirectCD
Adaptec Inc.		EZ-SCSI
Adaptec Inc.		Easy CD Creator
Adaptec Inc.		Easy CD Creator Lite
Adaptec Inc.		Easy-CD Audio
Adaptec Inc.		Easy-CD Pro 95
Adaptec Inc.		Easy-CD for Windows 95
Adaptec Inc.		GoBack
Adaptec Inc.		PERC 2 RAID Controller
Adaptec Inc.		RAID Controller
Adaptive Micro Systems LLC		Network Setup
Adaptive Software		None
AddinTools		AddinTools Create Manager
Addstor Inc. (see Qualitas Inc.)		None
Adiscon GmbH		WinSyslog
Adkins Resource Inc.		Hyena
Adobe Systems Incorporated		Acrobat
Adobe Systems Incorporated		Acrobat Capture
Adobe Systems Incorporated		Acrobat Catalog
Adobe Systems Incorporated		Acrobat Distiller
Adobe Systems Incorporated		Acrobat Elements
Adobe Systems Incorporated		Acrobat Exchange
