280598 function calls (279471 primitive calls) in 2.500 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {nt.stat}
       54    0.000    0.000    0.000    0.000 {range}
       23    0.000    0.000    0.000    0.000 lists.py:345(has_key)
        1    0.000    0.000    0.000    0.000 _utils.py:84(hasVyperLogixLibraryLoaded)
        1    0.000    0.000    0.000    0.000 ntpath.py:466(abspath)
       19    0.000    0.000    0.000    0.000 tokenize.py:44(group)
      214    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       40    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 _utils.py:77(hasVyperLogixLibraryLoadedIn)
        1    0.000    0.000    0.000    0.000 _utils.py:67(__hasVyperLogixLibraryLoadedIn__)
        6    0.000    0.000    0.000    0.000 {repr}
       40    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
        1    0.000    0.000    0.000    0.000 {eval}
       94    0.000    0.000    0.000    0.000 {max}
       69    0.000    0.000    0.000    0.000 lists.py:217(<lambda>)
        1    0.000    0.000    0.000    0.000 threading.py:539(Event)
        2    0.000    0.000    0.000    0.000 threading.py:241(Condition)
        1    0.000    0.000    0.000    0.000 {dir}
       40    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
        1    0.000    0.000    0.000    0.000 threading.py:558(__init__)
       18    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:113(RLock)
        1    0.000    0.000    0.000    0.000 __init__.py:230(LogRecord)
        2    0.000    0.000    0.000    0.000 threading.py:259(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:638(Thread)
       29    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 Enum.py:135(__new__)
        1    0.000    0.000    0.000    0.000 ntpath.py:398(normpath)
       17    0.000    0.000    0.000    0.000 sre_parse.py:68(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:131(__init__)
       17    0.000    0.000    0.000    0.000 lists.py:326(__delitem__)
       36    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 lists.py:213(HashedLists)
       24    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        4    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 threading.py:573(set)
        9    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.000    0.000 Enum.py:107(__len__)
        1    0.000    0.000    0.000    0.000 {nt._getfullpathname}
        6    0.000    0.000    0.000    0.000 lists.py:355(<genexpr>)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
       11    0.000    0.000    0.000    0.000 opcode.py:31(name_op)
        7    0.000    0.000    0.000    0.000 {hasattr}
       30    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       16    0.000    0.000    0.000    0.000 __init__.py:74(isString)
        6    0.000    0.000    0.000    0.000 lists.py:311(__getitem__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 weakref.py:47(__init__)
       30    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
